price	timestamp
63095.46	2024-05-08 03:20:03
63117.18	2024-05-08 03:25:02
63123.42	2024-05-08 03:30:02
63118.90	2024-05-08 03:35:01
63142.24	2024-05-08 03:40:02
63154.87	2024-05-08 03:45:02
63122.25	2024-05-08 03:50:02
63119.82	2024-05-08 03:55:02
63056.65	2024-05-08 04:00:02
63032.72	2024-05-08 04:05:02
63075.22	2024-05-08 04:10:02
63144.11	2024-05-08 04:15:02
63115.83	2024-05-08 04:20:02
63125.28	2024-05-08 04:25:02
63110.54	2024-05-08 04:30:01
63045.04	2024-05-08 04:35:03
63009.82	2024-05-08 04:40:02
63005.17	2024-05-08 04:45:02
63086.75	2024-05-08 04:50:02
63002.89	2024-05-08 04:55:04
62959.40	2024-05-08 05:00:01
62989.83	2024-05-08 05:05:02
63023.07	2024-05-08 05:10:04
63066.06	2024-05-08 05:15:02
63083.98	2024-05-08 05:20:02
63103.78	2024-05-08 05:25:02
63121.47	2024-05-08 05:30:02
63117.93	2024-05-08 05:35:02
63007.24	2024-05-08 05:40:04
63003.22	2024-05-08 05:45:02
63001.75	2024-05-08 05:50:01
62856.75	2024-05-08 05:55:02
62992.23	2024-05-08 06:00:02
63058.66	2024-05-08 06:05:02
63052.82	2024-05-08 06:10:02
62923.89	2024-05-08 06:15:02
62764.97	2024-05-08 06:20:02
62872.50	2024-05-08 06:25:02
62874.57	2024-05-08 06:30:02
63025.90	2024-05-08 06:35:01
63048.58	2024-05-08 06:40:02
63046.72	2024-05-08 06:45:01
63007.35	2024-05-08 06:50:04
62920.09	2024-05-08 06:55:02
62856.08	2024-05-08 07:00:02
62847.22	2024-05-08 07:05:02
62442.80	2024-05-08 07:10:01
62432.74	2024-05-08 07:15:02
62421.35	2024-05-08 07:20:01
62418.38	2024-05-08 07:25:01
62339.53	2024-05-08 07:30:02
62400.55	2024-05-08 07:35:02
62464.68	2024-05-08 07:40:02
62490.80	2024-05-08 07:45:02
62483.77	2024-05-08 07:50:02
62343.18	2024-05-08 07:55:01
62344.35	2024-05-08 08:00:02
62322.08	2024-05-08 08:05:01
62374.74	2024-05-08 08:10:01
62481.54	2024-05-08 08:15:02
62405.74	2024-05-08 08:20:02
62531.47	2024-05-08 08:25:02
62434.40	2024-05-08 08:30:02
62436.75	2024-05-08 08:35:02
62437.90	2024-05-08 08:40:02
62588.30	2024-05-08 08:45:02
62538.62	2024-05-08 08:50:02
62616.00	2024-05-08 08:55:02
62609.43	2024-05-08 09:00:02
62584.15	2024-05-08 09:05:02
62549.94	2024-05-08 09:10:01
62623.97	2024-05-08 09:15:03
62617.64	2024-05-08 09:20:02
62575.45	2024-05-08 09:25:02
62583.15	2024-05-08 09:30:02
62531.52	2024-05-08 09:35:02
62545.55	2024-05-08 09:40:02
62575.40	2024-05-08 09:45:07
62535.40	2024-05-08 09:50:02
62569.41	2024-05-08 09:55:02
62539.76	2024-05-08 10:00:02
62562.35	2024-05-08 10:05:02
62646.08	2024-05-08 10:10:01
62682.59	2024-05-08 10:15:02
62685.55	2024-05-08 10:20:02
62673.58	2024-05-08 10:25:02
62761.83	2024-05-08 10:30:02
62730.36	2024-05-08 10:35:02
62742.57	2024-05-08 10:40:02
62777.39	2024-05-08 10:45:02
62813.86	2024-05-08 10:50:01
62792.19	2024-05-08 10:55:02
62783.47	2024-05-08 11:00:02
62792.88	2024-05-08 11:05:01
62807.91	2024-05-08 11:10:02
62790.33	2024-05-08 11:15:02
62770.65	2024-05-08 11:20:02
62630.11	2024-05-08 11:25:02
62689.16	2024-05-08 11:30:03
62700.60	2024-05-08 11:35:01
62715.10	2024-05-08 11:40:02
62764.77	2024-05-08 11:45:02
62940.21	2024-05-08 11:50:02
62917.11	2024-05-08 11:55:02
62882.65	2024-05-08 12:00:02
62880.42	2024-05-08 12:05:02
62902.22	2024-05-08 12:10:02
62921.24	2024-05-08 12:15:02
62899.97	2024-05-08 12:20:07
